hard_text,profession,gender
"She performs at clubs and colleges all over the country. She regularly opens for comedic icon Richard Lewis and has appeared on The Bob and Tom Show. She is the co-host of Homeo and Juliet, a podcast available on iTunes.",comedian,Female
"The Carol Burnett Show ran for 11 years, won 23 Emmy Awards, and featured many famous co-stars including Lucille Ball, Julie Andrews, and Jimmy Stewart.",comedian,Female
"Like many of those featured on SNL, Chris attended the esteemed “Second City” Improv School located in Chicago, IL. Since then, he has spent the last 8 years in the comedy world writing for “Late Night With Jimmy Fallon” and traveling across the nation bringing laughter from coast to coast. Chris Wineland is an amazing standup Comedian with a passion for sharing the love of Jesus Christ by bringing joy. He’s the perfect entertainer to compliment a multitude of venues and events.",comedian,Male
"He has played theatres and clubs across Canada, and opened for the likes of Neil Hamburger, Tig Notaro and Kevin MacDonald. With little web presence beyond a Facebook page, Jon came to Kobot for a website that would tell people when and where they could see him perform, and how to buy his albums. A normal, comedian’s website.",comedian,Male
"He cracks jokes with teammates as he ambles from locker to locker, has done an coming on a Tonight Show with Jimmy Fallon and can be counted on to give stupid answers to reporters. But after he gave adult …",comedian,Male
"He was a writer and editor for National Lampoon Magazine. He has opened for acts like Meat Loaf, Twisted Sister, Electric Light Orchestra, and B.B. King. He has performed his stand-up routines at The Bottom Line, The Comedy Store, and Caroline's. In 1979 he was given an award by the Association of Comedy Artists for Best Male Comic. He has had roles on more than a dozen television shows.",comedian,Male
"Since that time, his distinctive performance and writing styles have seen him be booked to perform a 10 minute routine at The Comedy Store in London, perform a successful two-hander in Edinburgh 2016, and do well in the majority of the major new act competitions.",comedian,Male
"Born in Glasgow, grew up in Stirling and now living in the capital has given Paul a rounded viewpoint of Scotland. His laidback stories are delighting audiences around the country in comedy clubs such as The Stand and YesBar. He is a regular compere and has hosted events for Foundation Scotland, Poppy Scotland and Ginger Ale Comedy. After 2 years of performing at various shows Paul alongside Thomas Black brought their debut show 'Ken Heehaw' to the fringe last year.""",comedian,Male
"A member of the Upright Citizens Brigade Theater, he got his start in comedy by faxing jokes to Saturday Night Live's Weekend Update and the Late Show with David Letterman. He has portrayed characters in two NBC shows, Undercovers and Parks and Recreation, made guest appearances in comedy sketches for CollegeHumor, and starred in the 2011 film Peep World. He has also been hired to write a remake of the 1991 comedy Soapdish. In addition, Schwartz has penned two books. Schwartz was nominated for the 2009 Emmy for Outstanding Writing For A Variety, Music Or Comedy Special for coauthoring Hugh Jackman's opening number for the 81st Academy Awards. He lives in The Bronx, New York. Description above from the Wikipedia article Ben Schwartz, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",comedian,Male
"A lot of the humour comes when he merges this innocent character with Black Humour, much of which occurs when the audience least expects it. He is very good at twisting standard punchlines, taking a predictable end to a joke and swapping it for an unexpected and often very grim one.",comedian,Male
